ID	Name	numcommits	percent	norm
8	8	devin-ai-integrationbot	276	29.1139240506329	1
6	6	Nico Arqueros	157	16.5611814345992	0.567272727272727
2	2	GitHub	154	16.2447257383966	0.556363636363636
1	1	Alfredo Gallardo	96	10.126582278481	0.345454545454545
3	3	paulclindo	86	9.07172995780591	0.309090909090909
4	4	Paul Ccari	80	8.43881856540084	0.287272727272727
9	9	Eduardo Soto	54	5.69620253164557	0.192727272727273
7	7	Guillermo Valin	28	2.9535864978903	0.0981818181818182
10	10	Eddie	8	0.843881856540084	0.0254545454545454
5	5	Nico	5	0.527426160337553	0.0145454545454545
11	11	Edward Alvarado	3	0.316455696202532	0.00727272727272725
12	12	Bence Oltean	1	0.105485232067511	-2.34187669256869e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
