99819368	99819369	99819370	99819371	99819372	99819373	99819374	99819375	99819378	99819379	99819380	99819383	99819384	99819385	99819386	99819387	99819388	99819389	99819390	99819391	99819392
0	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	13	13	0	0	3	0	33	6	0	0	15	0	0	0	0	0	0	0	0
31	0	38	5786	0	140	208	207	405	0	0	0	0	46	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	594	0	115	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	144	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	36	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	835	0	0	240	6	1919	0	0	0	0	65	0	0	62	0	0	0	0
30	0	0	178	0	0	33	0	23	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	22	0	0	0	0	8	0	0	37	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0
0	0	0	0	0	3	0	0	0	0	0	0	0	45	0	0	6	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
