ID	Name	numcommits	percent	norm
5	5	aidan garske	288	71.2871287128713	1
1	1	David Garske	52	12.8712871287129	0.174825174825175
7	7	Paul Adelsbach	38	9.40594059405941	0.125874125874126
6	6	jackctj117	18	4.45544554455445	0.0559440559440559
4	4	Daniele Lacamera	4	0.99009900990099	0.0069930069930069
2	2	Eric Blankenhorn	2	0.495049504950495	-9.62771529167128e-17
3	3	Tesfa Mael	2	0.495049504950495	-9.62771529167128e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
