99820405	99820406	99820407	99820408	99820409	99820410	99820411	99820412	99820413	99820414	99820415	99820416	99820417	99820418	99820419
11	0	5	35	0	35	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	1138	0	273	0	0	105	0	0	0	0	0	0
214	0	962	1356	0	1080	0	0	380	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	1012	1764	0	312	0	0	107	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	85	73	0	19	0	0	61	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
