"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.617880191742367,0.435084035709851,0.394904903568183,0.546370669938157,-0.00796247054778569,-0.142755333559124,0.458493742343513,-0.252558925449601,-0.305496869083259,0.166072749652594,0.147534925954583,0.313741148297447,0.784363690701571,0.643541500738608,0.870504141244657,NA,NA,0.453037082845209,-0.0334021328561342,1,-0.47199623585474,-0.216583136210832,-0.372762064664489,-0.11422499063186,-0.687241378518024,-0.486376222415393,-0.44905342641799,-0.219662935845259,0.618627696297214,-0.670154658531591,0.00945161758617619,-0.699260127715301,0.261425946728165,0.367742465090757,0.260296387612663,0.43239970277666,-0.0559022787849038,-0.0501635644510498,0.380929374450997,0.622485447553932,0.826656467615459,0.131110065515206,-0.240731492184886,0.254422161033138,0.0892863003403336
"prima.donnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"radio.silence",0.635426906887073,0.748825541911032,0.0463204241240971,0.35020937300174,0.532929687465179,-0.540559132931747,0.327737050836158,-0.13343538944585,-0.247956799617515,-0.0892811592407257,-0.101178412489218,0.281760419001422,0.663808877226103,0.821997847171122,0.249702005062812,0.453037082845209,NA,NA,-0.0343356423769496,0.453037082845209,0.0267843477722177,0.286020685023225,-0.498385773056602,-0.300616594711087,-0.35999696567768,-0.54921927919809,-0.00122636395572328,-0.112286734061124,0.54065818364264,-0.533341257647972,0.186649970563726,-0.231594561556012,0.274844512837328,0.363228177228604,0.527099529155768,0.433616530439939,0.00978876185560301,-0.140908154678889,0.119582521154393,0.836669629022631,0.233255311877675,0.062496811468508,0.464343177303892,-0.422402510700918,0.0254541711123993
"black.cloud",0.0221925606361401,-0.0933731983660174,0.0691377617260336,0.0377216768077159,-0.132086302564148,0.0770674635588452,0.0855718439279265,0.0641658752924182,0.0375911515830971,-0.113960576459638,-0.113660284563612,0.0110218910080346,-0.0225833771866873,-0.0464896328781941,-0.011754135979637,-0.0334021328561342,NA,-0.0343356423769496,NA,-0.0334021328561342,-0.113960576459638,0.0713611796111058,0.163731653417994,0.101129979369486,-0.120359426600304,0.189106915546053,-0.280540300609354,0.105387572883643,0.03447668584142,-0.0332214166544089,0.0585045471501136,-0.0224993847908581,-0.0349536538128204,-0.129815097357782,-0.284610883784435,0.261514051404138,-0.176704808548393,-0.131823036501721,-0.0767272081948304,-0.20961905297772,-0.137540898231344,0.341881729378914,-0.178429189827882,-0.0253184841770917,0.355177129965872
"missing.links",0.617880191742367,0.435084035709851,0.394904903568183,0.546370669938157,-0.00796247054778569,-0.142755333559124,0.458493742343513,-0.252558925449601,-0.305496869083259,0.166072749652594,0.147534925954583,0.313741148297447,0.784363690701571,0.643541500738608,0.870504141244657,1,NA,0.453037082845209,-0.0334021328561342,NA,-0.47199623585474,-0.216583136210832,-0.372762064664489,-0.11422499063186,-0.687241378518024,-0.486376222415393,-0.44905342641799,-0.219662935845259,0.618627696297214,-0.670154658531591,0.00945161758617619,-0.699260127715301,0.261425946728165,0.367742465090757,0.260296387612663,0.43239970277666,-0.0559022787849038,-0.0501635644510498,0.380929374450997,0.622485447553932,0.826656467615459,0.131110065515206,-0.240731492184886,0.254422161033138,0.0892863003403336
