99834284	99834285	99834286	99834287	99834290	99834291	99834292	99834293	99834294	99834296	99834300	99834303	99834318	99834320	99834322	99834327	99834330	99834331	99834338	99834340	99834341	99834342	99834343	99834344	99834345	99834346	99834347	99834348	99834349	99834350	99834351	99834352
559	0	0	4300	0	0	1559	158	1438	0	42	0	205	6	321	729	0	0	0	0	7	0	0	43	0	0	0	0	0	57	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	0	111	24	3	0	4	0	14	0	206	0	81	0	0	2	0	0	3	0	0	0	0	0	0	14	56	0	0	0	0	0
77	0	0	609	0	0	122	0	82	0	30	0	74	8	186	156	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
145	0	0	52	0	0	17	0	29	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	146	0	0	146	0	11	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	47	61	0	0	0	4	3	0	65	0	98	14	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
56	0	20	37	0	0	0	0	19	0	33	0	23	0	0	0	0	0	0	0	5	0	0	0	0	0	24	0	15	0	0	7
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	42	44	0	0	0	0	0	0	460	0	513	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	0	28	55	0	0	0	5	31	0	280	0	1361	21	8	0	0	7	5	0	0	0	0	0	0	32	32	0	0	0	0	0
0	0	0	0	0	0	0	14	23	0	15	0	25	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
126	0	0	44	17	0	19	3	60	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	12	0	0	11	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	24	0	0	0	0	0	0	0	70	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
