ID	Name	total	percent	norm
2	2	GitHub	93585	50	1
7	7	Daniel Lok	41363	22.0991611903617	0.441971298205871
1	1	Harutaka Kawamura	32161	17.1827750173639	0.343641473344518
4	4	Serena Ruan	4091	2.18571352246621	0.0436938332816857
9	9	Ben Wilson	3644	1.94689319869637	0.0389173247277817
13	13	Sunish Sheth	2194	1.17219639899557	0.0234230576066165
11	11	Ann Zhang	1775	0.948335737564781	0.0189457486936729
16	16	Jesse Chan	1533	0.819041513062991	0.0163598089396578
31	31	Fotis Bistas	1265	0.675856173532083	0.013496040947608
3	3	WeichenXu	954	0.509697066837634	0.0101727877926546
8	8	Yuki Watanabe	864	0.461612437890688	0.00921107466099607
18	18	Arthur Jenoudet	862	0.460543890580755	0.00918970325807032
15	15	Corey Zumar	450	0.240423144734733	0.00478719425536684
21	21	Apurva Koti	419	0.223860661430785	0.00445593751001779
14	14	Prithvi Kannan	397	0.212106641021531	0.0042208520778346
12	12	Edward Feng	305	0.162953464764652	0.00323776754325033
6	6	mlflow-automation	281	0.150130897045467	0.00298131070814138
27	27	Shicheng Zhou	245	0.130897045466688	0.00259662545547797
17	17	Michael Li	130	0.0694555751455896	0.00136776978724763
5	5	Chen Qian	129	0.0689213014906235	0.00135708408578476
