ID	Name	total	percent	norm
2	2	GitHub	449461	49.373414036668	1
3	3	Greyson LaLonde	245077	26.9217756198302	0.545267654518756
1	1	Lorenze Jay	99299	10.9080223655158	0.220927335024251
13	13	João Moura	68681	7.54462667384355	0.152805588928937
15	15	Thiago Moretto	28161	3.09349356826645	0.0626529613313754
6	6	Lucas Gomide	7249	0.796304636780069	0.0161260178881324
20	20	nicoferdi96	3459	0.379972098030385	0.0076936768566724
10	10	Mike Plachta	2613	0.287038766161722	0.00581141814621986
14	14	Vini Brasil	2236	0.245625212834906	0.00497263382725933
8	8	Gil Feig	1473	0.161809453714587	0.00327504116050367
12	12	Vidit Ostwal	864	0.0949106368020388	0.00192008187602896
4	4	Heitor Carvalho	727	0.0798611492535674	0.00161527165932447
19	19	Anaisdg	348	0.038227895378599	0.000772037556178475
18	18	Sampson	224	0.0246064613931212	0.000496150936679521
9	9	Matt Aitchison	113	0.012413080970637	0.000249187914386102
7	7	dependabotbot	90	0.00988652466687904	0.000198015396253232
21	21	Mark McDonald	83	0.00911757274834401	0.000182441151604097
5	5	Rip&Tear	62	0.0068107169927389	0.000135718417656693
17	17	Koushiv	60	0.00659101644458603	0.000131268633471226
23	23	Dragos Ciupureanu	28	0.00307580767414015	6.00720865037544e-05
