ID	Name	total	percent	norm
1	1	David Lord	39974	86.8245004344049	1
7	7	Phil Jones	1714	3.72284969591659	0.0428539264003203
2	2	GitHub	1419	3.08210251954822	0.0354739449128162
4	4	Grey Li	357	0.775412684622068	0.00890601155780161
10	10	dependabotbot	179	0.38879235447437	0.00445300577890086
33	33	otherJL0	155	0.336663770634231	0.0038526005053412
101	101	Matthias Paulsen	131	0.284535186794092	0.00325219523178155
54	54	Luis Palacios	116	0.251954821894005	0.00287694193580677
27	27	emisargent	113	0.245438748913988	0.00280189127661181
20	20	dzcode	93	0.201998262380539	0.00230155354864543
13	13	Mat Steininger	90	0.195482189400521	0.00222650288945048
73	73	Angeline	86	0.186794092093831	0.0021264353438572
53	53	Ivan Sushkov	83	0.180278019113814	0.00205138468466224
55	55	lecovi	79	0.171589921807124	0.00195131713906897
69	69	Qingpeng Li	79	0.171589921807124	0.00195131713906897
11	11	pre-commit-cibot	68	0.147697654213727	0.00167613138868746
45	45	Evgeny Prigorodov	58	0.125977410947003	0.00142596252470427
42	42	Josh Michael Karamuth	56	0.121633362293658	0.00137592875190764
59	59	Tim Hoagland	56	0.121633362293658	0.00137592875190764
40	40	Pascal Corpet	55	0.119461337966985	0.00135091186550932
