ID	Name	numcommits	percent	norm
2	2	GitHub	14	41.1764705882353	1
3	3	Diwank Singh Tomer	7	20.5882352941176	0.461538461538462
6	6	whiterabbit1983	6	17.6470588235294	0.384615384615385
1	1	Siddharth Balyan	3	8.82352941176471	0.153846153846154
7	7	Diwank Tomer	2	5.88235294117647	0.076923076923077
4	4	github-actionsbot	1	2.94117647058824	5.55111512312578e-17
5	5	alt-glitch	1	2.94117647058824	5.55111512312578e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
