ID	Name	numcommits	percent	norm
1	1	David Garske	73	93.5897435897436	1
3	3	Eric Blankenhorn	3	3.84615384615385	0.0140845070422536
2	2	Jacob Barthelmeh	2	2.56410256410256	3.81639164714898e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
NA.14	NA	NA	NA	NA	NA
NA.15	NA	NA	NA	NA	NA
NA.16	NA	NA	NA	NA	NA
