ID	Name	numcommits	percent	norm
1	1	David Garske	132	84.6153846153846	1
2	2	gojimmypi	10	6.41025641025641	0.046875
5	5	Andrew Hutchings	6	3.84615384615385	0.015625
3	3	Daniele Lacamera	4	2.56410256410256	0
4	4	night1rider	4	2.56410256410256	0
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
NA.14	NA	NA	NA	NA	NA
