ID	Name	total	percent	norm
10	10	whiterabbit1983	15797	33.7542735042735	1
2	2	GitHub	11900	25.4273504273504	0.752744115221115
5	5	github-actionsbot	9899	21.1517094017094	0.625785165915868
7	7	gitbook-combot	3225	6.89102564102564	0.202334877228602
8	8	developers	1400	2.99145299145299	0.0865427320601484
9	9	gitbook-bot	1400	2.99145299145299	0.0865427320601484
1	1	Siddharth Balyan	1263	2.69871794871795	0.0778503902036672
6	6	alt-glitch	1004	2.14529914529915	0.0614174227523634
11	11	ijindal1	440	0.94017094017094	0.0256328913140028
4	4	creatorrr	436	0.931623931623932	0.0253791003108939
3	3	Dmitry Paramonov	36	0.0769230769230769	-7.76288755499621e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
