ID	Name	numcommits	percent	norm
5	5	github-actionsbot	22	21.5686274509804	1
10	10	whiterabbit1983	20	19.6078431372549	0.904761904761905
2	2	GitHub	13	12.7450980392157	0.571428571428571
1	1	Siddharth Balyan	11	10.7843137254902	0.476190476190476
3	3	Dmitry Paramonov	10	9.80392156862745	0.428571428571428
7	7	gitbook-combot	7	6.86274509803922	0.285714285714286
8	8	developers	7	6.86274509803922	0.285714285714286
9	9	gitbook-bot	7	6.86274509803922	0.285714285714286
6	6	alt-glitch	2	1.96078431372549	0.0476190476190476
11	11	ijindal1	2	1.96078431372549	0.0476190476190476
4	4	creatorrr	1	0.980392156862745	-5.55111512312578e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
