"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"v0.2.12-v0.3.0","2024-04 -- 2024-04",19,4,14,1,0.2105,0.7368,0.0526,0,0,0,0,7,6,3,3,10,0,5,0,10,0,0.6667,0,0,0,0,0,0,0.5263,0.6842,0.4,0.8,0.0147,0.0189,0.1287,0.0213,-0.3193,-0.2874,0.0936,3,3,0,0.5,0.5,0
"v0.3.0-v0.3.2","2024-04 -- 2024-04",4,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1.3043,1.1579,2,2,2,0.5333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v0.3.2-v0.3.3","2024-04 -- 2024-05",11,0,11,0,0,1,0,1,0.0909,0,0,7,2,0,2,0,0,0,0,0,0,0,0.1333,0.1333,0,NA,0,0,0,0.8182,0,0.8182,0.0346,0.0222,0.1636,-0.3916,0,-0.3916,0.0364,0,2,0,0,1,0
"v0.3.3-v0.3.4","2024-05 -- 2024-05",11,4,7,0,0.3636,0.6364,0,1,0.0909,0,0,7,5,2,2,3,0,4,0,3,0,0.5238,0.4545,0.6667,0.2857,0,0.5,0,0.7273,0.5455,0.5,0.7143,0.0254,0.0356,0.1727,0.319,-0.3166,0.1525,0.1273,2,2,0,0.5,0.5,0
"v0.3.4-v0.4.0","2024-05 -- 2024-09",17,1,14,2,0.0588,0.8235,0.1176,1,0.0588,0,0,12,6,2,4,15,2,3,0,15,0,0.5792,0.2143,0,0.7273,0.5,0.3333,1,0.5882,0.6471,0.3333,0.75,0.0393,0.017,0.25,2e-04,-0.4062,-0.3382,0.125,2,4,0,0.3333,0.6667,0
"v0.4.0-v0.4.1","2024-09 -- 2024-09",3,0,3,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.4,1.3684,2,2,2,0.6429,0,1,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"v0.4.1-v1.0.0","2024-09 -- 2024-10",54,35,14,5,0.6481,0.2593,0.0926,2,0.037,0,0,14,20,18,4,8,0,0,0,8,0,0.7763,0,0,0,0,0,0,0.1296,0.6296,0.55,0.7895,0.032,0.4089,0.4759,0.2779,0.3044,0.0608,0.0713,17,3,1,0.8095,0.1429,0.0476
