"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.480101278449725,0.264110219536201,0.797030253873687,0.583175596074899,0.30319467913734,-0.449678888498213,0.930371032300524,0.306710919869004,0.0155297323966099,NA,NA,0.738730656980658,0.506332027063204,0.351786176216538,0.849015971385605,NA,0.729760464515905,0.572179795047123,NA,1,NA,0.805152790241136,-0.568399320952323,-0.673800265629915,-0.347780308937229,-0.608058381025206,-0.501991603851902,0.429258709812264,0.627074560645167,-0.637719398285905,0.64609909674413,-0.604467183861068,0.547770247610005,0.23207286256559,0.555609080510357,0.267906185946059,-0.444277321960525,-0.368347960705901,0.738934174472991,0.360059004519748,0.879291966536774,0.211524772323451,0.366492121149522,-0.353154391784647,0.0759189618001123
"prima.donnas",0,-0.182241688407709,0.40181878170804,0.202721213519846,-0.221871663753195,0.0717061180697918,0.698966837667626,0.166666666666667,0.203306803481152,NA,NA,0.473868017704923,0.0274824854964656,-0.106982836378582,0.488569918201839,0.729760464515905,NA,0.255996055794858,NA,0.729760464515905,NA,0.27223698464729,-0.295503584736352,-0.448747103383881,-0.0563634158225913,-0.218217890235992,-0.244750889210988,0.732471658162602,0.422753523955067,-0.274204403425003,0.139605303193143,-0.339930951477931,0.500877698136418,-0.161987877654677,0.215995907916731,-0.0609663522704266,-0.52563192759141,-0.451941101907185,0.490040405483965,-0.103164076765029,0.577350269189626,-0.166666666666667,-0.180525287003867,0.188521827495466,-0.25
"radio.silence",-0.0606602447235514,-0.214352326587587,0.389334797721148,-0.10955786562817,0.148565740028983,-0.181335478285469,0.246282650351517,-0.156442034096858,0.11620959216705,NA,NA,0.121308343499788,0.0125073918053949,-0.161003446219054,0.416906573465625,0.572179795047123,0.255996055794858,NA,NA,0.572179795047123,NA,0.604083141867994,-0.289553583150767,-0.218621443098296,-0.292515777389673,-0.600751409186111,-0.304304089457043,0.117914263857713,0.923891567781249,-0.652594723660209,0.58934353520137,-0.626177995998594,0.197978785604961,-0.289420188326715,0.0197335292172034,0.321287473847614,-0.840025209593257,-0.160051726137084,0.798257552064353,-0.149654381592204,0.541931102990361,-0.341328074393145,0.131489678322026,-0.0849100970267855,-0.582771517414359
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.480101278449725,0.264110219536201,0.797030253873687,0.583175596074899,0.30319467913734,-0.449678888498213,0.930371032300524,0.306710919869004,0.0155297323966099,NA,NA,0.738730656980658,0.506332027063204,0.351786176216538,0.849015971385605,1,0.729760464515905,0.572179795047123,NA,NA,NA,0.805152790241136,-0.568399320952323,-0.673800265629915,-0.347780308937229,-0.608058381025206,-0.501991603851902,0.429258709812264,0.627074560645167,-0.637719398285905,0.64609909674413,-0.604467183861068,0.547770247610005,0.23207286256559,0.555609080510357,0.267906185946059,-0.444277321960525,-0.368347960705901,0.738934174472991,0.360059004519748,0.879291966536774,0.211524772323451,0.366492121149522,-0.353154391784647,0.0759189618001123
