ID	Name	numcommits	percent	norm
1	1	hand-dot	258	63.2352941176471	1
2	2	GitHub	74	18.1372549019608	0.284046692607004
4	4	dependabotbot	62	15.1960784313725	0.237354085603113
3	3	Peter Ward	3	0.735294117647059	0.00778210116731519
6	6	Kyohei Fukuda	3	0.735294117647059	0.00778210116731519
5	5	TNBO/Eedge	2	0.490196078431373	0.0038910505836576
9	9	RobH	2	0.490196078431373	0.0038910505836576
10	10	Mowmowj	2	0.490196078431373	0.0038910505836576
7	7	Roman Afanasyev	1	0.245098039215686	1.38777878078145e-17
8	8	ryoppippi	1	0.245098039215686	1.38777878078145e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
