ID	Name	numcommits	percent	norm
2	2	GitHub	44	50	1
3	3	Greyson LaLonde	19	21.5909090909091	0.418604651162791
1	1	Lorenze Jay	16	18.1818181818182	0.348837209302326
7	7	Lucas Gomide	3	3.40909090909091	0.0465116279069767
5	5	Daniel Barreto	2	2.27272727272727	0.0232558139534883
4	4	Heitor Carvalho	1	1.13636363636364	-4.16333634234434e-17
6	6	Rip&Tear	1	1.13636363636364	-4.16333634234434e-17
8	8	Sam Brenner	1	1.13636363636364	-4.16333634234434e-17
9	9	Tony Kipkemboi	1	1.13636363636364	-4.16333634234434e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
