ID	Name	total	percent	norm
2	2	GitHub	77751	50	1
3	3	Greyson LaLonde	55500	35.6908592815526	0.713776691535889
1	1	Lorenze Jay	15782	10.1490656068732	0.202868536146128
7	7	Lucas Gomide	4378	2.81539787269617	0.0561744275791098
9	9	Tony Kipkemboi	930	0.598063047420612	0.0118214561358374
5	5	Daniel Barreto	426	0.273951460431377	0.00533830717777204
4	4	Heitor Carvalho	406	0.261089889519106	0.0050810393619758
8	8	Sam Brenner	318	0.204498977505113	0.00394906097247232
6	6	Rip&Tear	11	0.00707386400174917	-1.95427441590512e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
