ID	Name	total	percent	norm
2	2	GitHub	21109	48.6853637160386	1
1	1	jxnl	20308	46.8379537801559	0.962050504571943
6	6	lif	487	1.12320678998109	0.0229781589046287
9	9	dependabotbot	344	0.793394529267955	0.0162031553513052
13	13	Weston Bassler	320	0.738041422574842	0.0150660918178803
12	12	Luca Gobbi	298	0.687301074772822	0.0140237835789074
8	8	ゆり	178	0.410535541307256	0.00833846591178277
4	4	devin-ai-integrationbot	111	0.256008118455648	0.00516416354763817
11	11	Gardner Bickford	96	0.221412426772453	0.00445349883924759
3	3	David Okpare	86	0.198348632316989	0.0039797223669872
7	7	Vishnu	16	0.0369020711287421	0.000663287061164489
5	5	grokthetech-netizen	3	0.00691913833663914	4.7377647225985e-05
10	10	Ahmad Khan	2	0.00461275889109276	-5.3762875228125e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
