"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.807102529420658,0.771641335618463,0.865086914298381,0.965744013095863,-0.0756757370974014,-0.225837190048506,0.738202218324775,0.882900336337567,0.612260960308463,0.736140284515979,0.75427944906655,0.778327277726034,0.743403338966308,0.730348998585231,0.950386117484679,NA,NA,0.209628744691937,NA,0.999949646450241,NA,-0.00189433420432117,-0.214796172595962,-0.302675682211576,-0.144266113717592,-0.113389045837498,-0.234072692342898,0.150061916021732,0.361083975228149,0.808601942747006,0.997505288563335,-0.459071858163335,-0.751277824498216,0.777048679998318,0.782489675031612,-0.00493462521672516,-0.377103259978022,0.846354326830666,-0.776782668114266,0.729142988169637,0.955500842379987,0.842739516974939,-0.653543066913954,0.560943466041872,0.902385178984125
"prima.donnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"radio.silence",0.510460041518853,0.484233230557651,0.588534159013099,0.373946460929694,-0.0921525879612177,0.0207187218573957,0.180475485887095,0.634693207774838,0.471973453900091,0.811295470429498,0.775149005127685,0.319432639897335,0.496280157637447,0.494927140513364,0.399324895283665,0.209628744691937,NA,NA,NA,0.219330722987693,NA,0.300085143115412,-0.156187283799647,0.0695845898251239,-0.230937647144187,-0.247696890214881,0.03167890757915,0.940314249941048,0.973363403150319,0.298079351710152,0.268475698778412,0.10451546487757,-0.423969919463653,0.136770933378521,-0.11381505425292,0.331151719013228,-0.794801026106948,0.619923199192657,-0.448863369930708,0.494984930390018,0.390703413811394,0.477682653197369,-0.000392373099921029,-0.06071318717468,0.450258362795661
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.809851171341439,0.774104354883897,0.86878573738877,0.967235774684969,-0.0778238762907799,-0.223748867183885,0.738509091132824,0.887376203794061,0.61614300704859,0.742674926487307,0.760257676553665,0.779579752151651,0.746013103396966,0.732949833086255,0.95206725676013,0.999949646450241,NA,0.219330722987693,NA,NA,NA,0.00115675142303601,-0.214796172595962,-0.302675682211576,-0.144266113717592,-0.113389045837498,-0.234072692342898,0.150061916021732,0.370315622837246,0.810486713065487,0.99807345114748,-0.456945496877109,-0.75339733677506,0.776215828014941,0.77940588537471,-0.00130639898233037,-0.38486443412021,0.851084687381828,-0.77903652755386,0.731745256412251,0.957112693982828,0.8451291049165,-0.652647150767649,0.559717312106261,0.904515883648474
