99820405	99820406	99820408	99820409	99820410	99820411	99820412	99820415	99820416	99820417	99820418	99820419	99820420	99820421	99820422	99820423
0	0	44	0	16	0	0	0	0	0	0	0	0	44	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	0	24029	0	1460	0	0	0	0	41	0	4	0	20055	1615	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	0	5808	0	1653	0	0	0	0	0	0	9	0	2591	386	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	97	0	0	0	0	0	0	8	0	0	0	0	28	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	74	0	18	0	0	0	0	0	0	4	0	80	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	27682	0	8300	0	0	0	0	277	0	0	0	22781	2663	0
0	0	534	0	0	0	0	0	0	0	0	0	0	0	120	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
