ID	Name	total	percent	norm
1	1	David Garske	4230	40.0416508898145	1
4	4	Aidan Garske	3820	36.1605452480121	0.902334444973797
2	2	Tesfa Mael	2450	23.1919727375994	0.575988565983802
3	3	msi-debian	32	0.302915562287012	-6.07153216591882e-18
5	5	night1rider	32	0.302915562287012	-6.07153216591882e-18
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
NA.14	NA	NA	NA	NA	NA
