ID	Name	total	percent	norm
1	1	hand-dot	161168	57.0837583588349	1
2	2	GitHub	78831	27.9209877592656	0.489116811238102
4	4	devin-ai-integrationbot	13933	4.93490026068231	0.0864388270478885
5	5	dependabotbot	7662	2.71378782726964	0.0475286350719134
14	14	Kyohei Fukuda	6468	2.29088745324719	0.0401201245920356
6	6	Yasuyuki Komatsubara	5158	1.82690128074351	0.0319918593251679
7	7	Zin Kyaw Kyaw (AJ)	3403	1.20530148475575	0.0211024657806237
10	10	TNBO/Eedge	2876	1.01864445200045	0.0178325453259372
3	3	Peter Ward	2129	0.754066077297971	0.0131975726890287
9	9	hitomi-t260g	563	0.199407797801201	0.00348088306466626
13	13	Tyler Barker	104	0.0368355434659413	0.00063288782993933
15	15	Thomas Schühly	23	0.00814632211266009	0.000130300435575755
12	12	roopantj	11	0.00389606709735917	5.58430438181882e-05
8	8	Naveen Prashanth	5	0.00177093958970872	1.86143479394049e-05
11	11	Mikko Piuhola	2	0.000708375835883486	1.3196773318222e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
