99843813	99843814	99843815	99843816	99843817	99843818	99843819	99843820	99843821	99843822	99843823	99843824	99843825	99843826	99843827	99843828	99843829	99843830	99843831
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	3	0	14	31	36	68	0	5	17	0	0	0	0	0	0	0	0
0	0	5	0	6	33	23	39	0	2	7	0	0	0	0	0	0	0	0
0	0	0	0	4	29	31	69	0	4	18	0	0	0	0	0	0	0	0
0	0	21	0	27	495	114	214	0	64	47	0	0	0	0	0	0	0	0
0	0	25	3	39	144	136	302	0	20	70	0	0	0	0	0	0	0	0
0	0	59	16	75	377	329	756	0	35	141	0	7	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	2	109	6	20	0	0	5	0	0	0	0	0	0	0	0
0	0	0	0	2	29	17	41	0	2	8	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	18	0	8	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
