ID	Name	numcommits	percent	norm
1	1	David Garske	144	69.9029126213592	1
4	4	John Bland	28	13.5922330097087	0.159420289855073
5	5	Lealem Amedie	8	3.88349514563107	0.0144927536231884
6	6	Bill Phipps	8	3.88349514563107	0.0144927536231884
2	2	JacobBarthelmeh	6	2.9126213592233	2.77555756156289e-17
3	3	Marco Oliverio	6	2.9126213592233	2.77555756156289e-17
7	7	GitHub	6	2.9126213592233	2.77555756156289e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
