ID	Name	total	percent	norm
1	1	GitHub	702641	49.9847052596834	1
3	3	huhuanming	151993	10.8125277439476	0.216314494356277
5	5	morizon	127623	9.07888671363693	0.181630965545607
11	11	limichange	65078	4.6295400480326	0.092616549892619
4	4	Leon	65065	4.62861524978089	0.0925980482153708
2	2	weatherstar	56081	3.98950851952605	0.0798119660309205
16	16	Charon-Fan	49583	3.52725167032792	0.0705639738187034
8	8	JellyWang	43545	3.09771845157472	0.0619706563398843
6	6	ByteZhang	38592	2.74537031767531	0.054921517308319
17	17	Zen	34102	2.425959229202	0.0485313226279782
12	12	Kahn	24989	1.77767565475716	0.035561646876988
7	7	Franco	14978	1.06550986261766	0.0213139321899296
14	14	yikZero	14632	1.04089600145691	0.020821502933939
18	18	Xeon	10913	0.776332563142379	0.0155286000350108
10	10	wabiwabo	5452	0.387846159099446	0.00775647238482342
9	9	Revan Zhang	177	0.0125914838885917	0.000249061039879576
20	20	coderabbitaibot	138	0.00981708913347827	0.000193556008134968
15	15	yuanx	101	0.00718497103247322	0.000140897388274698
19	19	kuzane	27	0.00192073483046314	3.55801485541589e-05
13	13	Yishi Wang	2	0.000142276654108381	-7.73561309409462e-17
