ID	Name	numcommits	percent	norm
2	2	GitHub	7211	49.986136143075	1
1	1	Airbyte	6352	44.031609593789	0.880859916782247
6	6	Augustin	96	0.665465132399834	0.0131761442441055
21	21	Johnny Schmidt	72	0.499098849299875	0.00984743411927887
17	17	Edward Gao	59	0.408983779287398	0.00804438280166444
72	72	devin-ai-integrationbot	38	0.263413281574934	0.00513176144244114
11	11	Natik Gadzhi	36	0.249549424649938	0.00485436893203892
41	41	Ian Alton	34	0.235685567724941	0.0045769764216367
9	9	btkcodedev	26	0.180230140024955	0.00346740638002783
12	12	Marius Posta	26	0.180230140024955	0.00346740638002783
5	5	Tope Folorunso	21	0.145570497712464	0.00277392510402228
46	46	github-actionsbot	20	0.138638569249965	0.00263522884882117
47	47	Francis Genet	19	0.131706640787467	0.00249653259362006
4	4	Maxime Carbonneau-Leclerc	17	0.117842783862471	0.00221914008321784
27	27	Aldo Gonzalez	16	0.110910855399972	0.00208044382801673
20	20	Rodi Reich Zilberman	15	0.103978926937474	0.00194174757281562
84	84	Alfredo Garcia	15	0.103978926937474	0.00194174757281562
14	14	Anatolii Yatsuk	14	0.0970469984749757	0.00180305131761451
23	23	Patrick Nilan	14	0.0970469984749757	0.00180305131761451
50	50	Subodh Kant Chaturvedi	13	0.0901150700124775	0.0016643550624134
