"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.838770314214543,0.813754400235477,0.785523360834577,0.609994281330419,0.0825019981194632,0.299985732290197,-0.117235803423755,0,-0.03913115139225,NA,NA,NA,0.771298532329589,0.771298532329589,1,NA,NA,-0.345121923912342,NA,1,-0.894179530136522,-0.980702290558769,-0.495433694306862,-0.414592494617087,-0.61588176205144,-0.55056096910659,-0.323492916688553,0.0984062724952183,0.00693892521457872,-0.358603634002075,0.187935540656525,-0.996146421118749,-0.424966662595544,0.274172040384222,0.343758325497763,0.18506612725935,0.260463438365011,-0.255813953488372,-0.651158595912526,0.774757270142726,0.792405815693062,0.730347288154162,-0.972980225278778,0.792405815693062,0.674655216740375
"prima.donnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"radio.silence",-0.664348830774039,-0.652427917217875,-0.685311310495531,0.171448166624547,-0.285217822635975,-0.268646789442655,0.729184142772919,0.0498011920555997,0.0940363628951123,NA,NA,NA,-0.717432564508255,-0.717432564508255,-0.345121923912342,-0.345121923912342,NA,NA,NA,-0.345121923912342,0.242063492063492,0.30863142703451,0.273861278752583,-0.0458349248514106,0.278543007265578,0.278543007265578,-0.490990253030983,-0.373001923296126,0.884651736929383,0.547760336915542,0.612736834678175,0.30863142703451,0.783702439826184,0.353706410895004,0.278261290376561,-0.568704425360594,-0.693541982147066,-0.0392184004445843,0.84612121821942,-0.717432564508255,-0.395942580610999,-0.130410132739325,0.238310342393735,-0.395942580610999,-0.0511979685049138
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.838770314214543,0.813754400235477,0.785523360834577,0.609994281330419,0.0825019981194632,0.299985732290197,-0.117235803423755,0,-0.03913115139225,NA,NA,NA,0.771298532329589,0.771298532329589,1,1,NA,-0.345121923912342,NA,NA,-0.894179530136522,-0.980702290558769,-0.495433694306862,-0.414592494617087,-0.61588176205144,-0.55056096910659,-0.323492916688553,0.0984062724952183,0.00693892521457872,-0.358603634002075,0.187935540656525,-0.996146421118749,-0.424966662595544,0.274172040384222,0.343758325497763,0.18506612725935,0.260463438365011,-0.255813953488372,-0.651158595912526,0.774757270142726,0.792405815693062,0.730347288154162,-0.972980225278778,0.792405815693062,0.674655216740375
