ID	Name	numcommits	percent	norm
1	1	GitHub	6	50	1
6	6	Jordan Borean	2	16.6666666666667	0.2
2	2	Rich Chiodo	1	8.33333333333333	5.55111512312578e-17
3	3	rabbit	1	8.33333333333333	5.55111512312578e-17
4	4	MichaelSpece	1	8.33333333333333	5.55111512312578e-17
5	5	Conrad Irwin	1	8.33333333333333	5.55111512312578e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
