ID	Name	total	percent	norm
1	1	David Lord	25396	71.1811200179382	1
7	7	pgjones	3809	10.6760468636134	0.149917303299992
2	2	GitHub	1565	4.38645663994619	0.0615499724344334
55	55	yk396	968	2.71315656707215	0.038040482003623
4	4	Grey Li	911	2.55339424855653	0.0357958572891235
51	51	jackwardell	764	2.14137563764785	0.0300070882885722
81	81	Ebonne Cabarrus	533	1.49391782050563	0.0209104512877058
10	10	dependabot-previewbot	481	1.3481697404563	0.018862723477987
3	3	Adrian	267	0.748360334099445	0.0104355359533749
6	6	Joshua Bronson	103	0.288693312405404	0.00397731747656932
82	82	Doron Horwitz	78	0.218622120073995	0.00299283295266603
34	34	erfanio	52	0.14574808004933	0.00196896904780662
37	37	Leonardo Giordani	46	0.128930993889792	0.00173269276206983
13	13	Armin Ronacher	42	0.117719603116767	0.00157517523824531
22	22	pre-commit-cibot	36	0.100902516957229	0.00133889895250852
29	29	Matthew Preble	31	0.0868882784909468	0.00114200204772786
45	45	Bogdan Opanchuk	30	0.0840854307976905	0.00110262266677173
71	71	Tony De La Nuez	30	0.0840854307976905	0.00110262266677173
83	83	Paul Sanders	30	0.0840854307976905	0.00110262266677173
62	62	kevinanew	29	0.0812825831044341	0.0010632432858156
