"","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree.centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"org.silo",0.308068009250357,0.308068009250357,0.308068009250357,0,0.637618091400602,0.637618091400602,1,0.59631385875611,1,NA,NA,0.0576688856224373,0.308068009250357,0.308068009250357,0,NA,NA,0.152413426755579,NA,0,0,0.00676013549495766,0.552786404500042,0.105572809000084,0.764297739604484,0.764297739604484,0,0.105572809000084,1,0.637618091400602,0.637618091400602,0.00676013549495766,0.308068009250357,0.637618091400602,0.637618091400602,1,1,0,0.308068009250357,0.308068009250357,NA,0,0.00676013549495766,NA,0.00676013549495755
"prima.donnas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"radio.silence",0.3217233358243,0.3217233358243,0.218893981313232,0.152413426755579,0.869597920518565,0.869597920518565,0.804828816608063,0.639941616130804,0.312036356739593,NA,NA,0.218893981313232,0.3217233358243,0.3217233358243,0.152413426755579,0.152413426755579,NA,NA,NA,0.152413426755579,0.152413426755579,0.101837970377407,0.683772233983162,0.367544467966324,1,1,0.292893218813453,0.367544467966324,0.552814746643351,0.804828816608063,0.740581941591072,0.101837970377407,0.218893981313232,0.869597920518565,0.869597920518565,0.804828816608063,0.804828816608063,0.152413426755579,0.3217233358243,0.3217233358243,NA,0.152413426755579,0.101837970377407,NA,0.101837970377407
"black.cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"missing.links",0.308068009250357,0.308068009250357,0.308068009250357,0,0.637618091400602,0.637618091400602,1,0.59631385875611,1,NA,NA,0.0576688856224373,0.308068009250357,0.308068009250357,0,0,NA,0.152413426755579,NA,NA,0,0.00676013549495766,0.552786404500042,0.105572809000084,0.764297739604484,0.764297739604484,0,0.105572809000084,1,0.637618091400602,0.637618091400602,0.00676013549495766,0.308068009250357,0.637618091400602,0.637618091400602,1,1,0,0.308068009250357,0.308068009250357,NA,0,0.00676013549495766,NA,0.00676013549495755
