"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"v0.64.0-v0.64.7","2024-08 -- 2024-09",183,123,49,11,0.6721,0.2678,0.0601,9,0.0492,0,0,22,71,63,8,19,0,5,0,19,0,0.9114,0,0,0,0,0,0,0.1038,0.612,0.5299,0.8667,0.0069,0.2272,0.2733,0.5546,0.3611,0.5179,0.0179,63,8,0,0.8873,0.1127,0
"v0.64.7-v1.0.0","2024-09 -- 2024-09",61,35,22,4,0.5738,0.3607,0.0656,7,0.1148,0,0,17,21,20,1,1,0,0,0,1,0,0.9231,1.123,0.8605,1.2391,1.1807,1.5556,0.073,0.0328,0.6557,0.4872,0.9615,0.0146,0.1839,0.4055,0.2368,0.2309,-0.5,0.0279,20,1,0,0.9524,0.0476,0
"v1.0.0-v1.3.0","2024-09 -- 2024-12",443,333,95,15,0.7517,0.2144,0.0339,22,0.0497,0,0,30,157,144,14,34,0,64,0,34,0,0.9457,0.0556,0.0441,0.0674,0.0732,0,0,0.1986,0.6456,0.5862,0.8727,0.0034,0.3193,0.3565,0.511,0.3163,0.5899,0.01,144,14,0,0.9114,0.0886,0
"v1.3.0-v1.6.0","2024-12 -- 2025-04",468,332,121,15,0.7094,0.2585,0.0321,39,0.0833,0,0,31,165,147,19,74,0,118,0,74,0,0.8853,0.6432,0.4309,0.6646,0.6942,0.3636,0.157,0.3376,0.6474,0.5764,0.8603,0.0033,0.3621,0.3682,0.5243,0.2922,0.3699,0.0086,146,18,1,0.8848,0.1091,0.0061
"v1.6.0-v2.0.0","2025-04 -- 2025-10",570,430,126,14,0.7544,0.2211,0.0246,33,0.0579,0,0,34,200,180,21,89,0,114,1,89,0,0.9237,0.605,0.5217,0.6192,0.6177,0.4,0.3025,0.2684,0.6491,0.5946,0.85,0.0025,0.2862,0.3235,0.5775,0.1928,0.4328,0.0086,179,20,1,0.895,0.1,0.005
