ID	Name	numcommits	percent	norm
2	2	GitHub	6	50	1
1	1	XuanYang-cn	2	16.6666666666667	0.2
3	3	wei liu	1	8.33333333333333	5.55111512312578e-17
4	4	aoiasd	1	8.33333333333333	5.55111512312578e-17
5	5	Jiquan Long	1	8.33333333333333	5.55111512312578e-17
6	6	jaime	1	8.33333333333333	5.55111512312578e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
