"range","range.date","devs","ml.only.devs","code.only.devs","ml.code.devs","perc.ml.only.devs","perc.code.only.devs","perc.ml.code.devs","sponsored.devs","ratio.sponsored","sponsored.core.devs","ratio.sponsored.core","num.tz","core.global.devs","core.mail.devs","core.code.devs","org.silo","prima.donnas","radio.silence","black.cloud","missing.links","st.congruence","communicability","global.turnover","code.turnover","core.global.turnover","core.mail.turnover","core.code.turnover","ratio.smelly.quitters","ratio.smelly.devs","global.truck","mail.truck","code.truck","closeness.centr","betweenness.centr","degree centr","global.mod","mail.mod","code.mod","density","mail.only.core.devs","code.only.core.devs","ml.code.core.devs","ratio.mail.only.core","ratio.code.only.core","ratio.ml.code.core"
"v0.1.0-v0.2.0","2025-05 -- 2025-06",6,3,3,0,0.5,0.5,0,0,0,0,0,3,2,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0.5,0.6667,0.3333,1,0.1125,0,0.2,-0.3672,-0.3672,0,0.2,2,0,0,1,0,0
"v0.2.0-v0.3.1","2025-06 -- 2025-06",6,3,3,0,0.5,0.5,0,0,0,0,0,3,2,2,0,0,0,3,0,0,1,1,0.1667,0,0.5,0.5,0,1,0.5,0.6667,0.3333,1,0.1232,0.1,0.2667,-0.4388,-0.4388,0,0.1333,2,0,0,1,0,0
"v0.3.1-v0.4.0","2025-06 -- 2025-06",5,2,3,0,0.4,0.6,0,1,0.2,0,0,3,1,1,0,0,0,2,1,0,1,1,0.1818,0,0.6667,0.6667,0,1,0.4,0.8,0.5,1,0.0875,0,0.15,-0.5,-0.5,0,0.1,1,0,0,1,0,0
"v0.4.0-v0.5.0","2025-06 -- 2025-06",11,8,3,0,0.7273,0.2727,0,0,0,0,0,5,5,5,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0.7273,0.5455,0.375,1,0.1179,0.0578,0.3182,-0.1708,-0.1708,0,0.3818,5,0,0,1,0,0
"v0.5.0-v0.6.0","2025-06 -- 2025-09",11,7,3,1,0.6364,0.2727,0.0909,0,0,0,0,5,5,5,1,1,0,8,0,1,0,0.5,0.1818,0,0.2,0,0,1,0.8182,0.5455,0.375,0.75,0.1262,0.1444,0.2455,0.005,-0.1984,-0.5,0.4545,5,1,0,0.8333,0.1667,0
"v0.6.0-v0.7.0","2025-09 -- 2025-09",10,7,3,0,0.7,0.3,0,0,0,0,0,5,5,5,0,0,0,7,0,0,1,1,0.1905,0.2857,0.4,0.2,2,1,0.7,0.5,0.2857,1,0.1062,0,0.2,-0.219,-0.219,0,0.4667,5,0,0,1,0,0
"v0.7.0-v0.8.0","2025-09 -- 2025-12",12,8,4,0,0.6667,0.3333,0,0,0,0,0,10,5,5,0,0,0,2,0,0,1,1,0,0,0.2,0.2,0,0,0.1667,0.5833,0.375,1,0.0944,0.0198,0.2727,0.0234,0.0234,0,0.3636,5,0,0,1,0,0
"v0.8.0-v0.8.4","2025-12 -- 2026-04",12,8,4,0,0.6667,0.3333,0,0,0,0,0,6,6,6,0,0,0,8,0,0,1,1,0,0,0,0,0,0,0.6667,0.5,0.25,1,0.0918,0.0046,0.2424,-0.2245,-0.2245,0,0.3939,6,0,0,1,0,0
