ID	Name	numcommits	percent	norm
2	2	GitHub	100	32.258064516129	1
1	1	Alfredo Gallardo	58	18.7096774193548	0.571428571428571
3	3	paulclindo	52	16.7741935483871	0.510204081632653
5	5	Nico	50	16.1290322580645	0.489795918367347
4	4	Paul Ccari	48	15.4838709677419	0.469387755102041
6	6	Robert Kornacki	2	0.645161290322581	-2.42861286636753e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
