ID	Name	total	percent	norm
2	2	GitHub	134597	45.9902823715934	1
1	1	Alfredo Gallardo	72892	24.906377279064	0.541496072938571
4	4	Paul Ccari	61271	20.935612169587	0.455145304988148
3	3	paulclindo	15966	5.45540278271328	0.118502886780255
5	5	Nico	7920	2.70617499931662	0.0587164416439414
6	6	Robert Kornacki	18	0.0061503977257196	-5.64869331864948e-17
NA	NA	NA	NA	NA	NA
NA.1	NA	NA	NA	NA	NA
NA.2	NA	NA	NA	NA	NA
NA.3	NA	NA	NA	NA	NA
NA.4	NA	NA	NA	NA	NA
NA.5	NA	NA	NA	NA	NA
NA.6	NA	NA	NA	NA	NA
NA.7	NA	NA	NA	NA	NA
NA.8	NA	NA	NA	NA	NA
NA.9	NA	NA	NA	NA	NA
NA.10	NA	NA	NA	NA	NA
NA.11	NA	NA	NA	NA	NA
NA.12	NA	NA	NA	NA	NA
NA.13	NA	NA	NA	NA	NA
