ID	Name	total	percent	norm
3	3	GitHub	37632	38.1562671100927	1
1	1	merwanehamadi	15392	15.6064323809138	0.408997900667003
10	10	BillSchumacher	9134	9.26124956907915	0.242698838723393
6	6	Richard Beales	7610	7.71601808853649	0.202200313571258
8	8	Reinier van der Leer	7336	7.43820088009247	0.194919082671202
39	39	Evgeny Vakhteev	3370	3.41694887757792	0.0895272514682044
26	26	James Collins	3102	3.14521525763997	0.0824054635805585
51	51	kinance	1844	1.86968953419991	0.0489755786452658
27	27	Nicholas Tindle	1812	1.83724372883418	0.0481252159124126
19	19	bszollosinagy	1349	1.36779348244885	0.0358215301214424
67	67	Peter	1274	1.29174862612293	0.0338284924663176
9	9	Media	1219	1.23598239815059	0.0323669315192261
25	25	Taylor Beeston	1168	1.18427189584896	0.0310116659137413
46	46	Merwane Hamadi	1002	1.01595928051427	0.0266004092370651
52	52	Douglas Schonholtz	697	0.706710198122199	0.0184953894395578
43	43	Vwing	431	0.437004441019609	0.0114267492227153
11	11	Toran Bruce Richards	411	0.416725812666031	0.010895272514682
90	90	Bob	390	0.395433252894774	0.0103372219712471
23	23	Kris	385	0.39036359580638	0.0102043527942387
28	28	riensen	343	0.347778476263866	0.00908825170736887
