99819368	99819369	99819370	99819371	99819372	99819373	99819374	99819375	99819376	99819377	99819378	99819379	99819380	99819381
30	0	0	169	0	9	115	0	4	20	14	58	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
309	0	0	400	0	0	709	0	60	184	0	129	0	0
0	0	0	0	5	0	105	0	0	0	0	0	0	0
0	0	0	40	18	3	0	0	0	19	70	0	0	0
68	0	0	24	269	0	8211	0	274	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	24	0	0	0	0	0	0	0
32	0	0	57	0	0	216	0	0	105	0	0	0	0
0	0	0	24	0	0	0	0	0	18	0	0	0	0
106	0	0	76	0	0	0	0	0	0	0	38	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
